92733	0.6451127906664261,-0.2329522602988544,-0.3429663128521212,0.12031519766666048,-0.5204251825831899,-0.06526756503891332,0.6013690550886144,0.240103224910624,-0.19550018594553595,-0.012971784843504811,0.2916006837724293,-0.1371237438309639,0.28046047487520975,0.060218034489213985,0.04473282460134516,0.24576355446090808,0.009855194185666548,0.15796192375426188,0.12405085429497326,0.0774624978096887,0.09706343207405767,0.12044819104704116,0.10420819008823379,0.058524944366482895,0.17160076150721532,0.02015009720127495,0.1512295664879351,0.06197909367176531,0.12420416182974481,0.06607194996283948,0.12881057117688502,0.06864366234282938,0.132384761139359,0.06291762687157261,0.13907108966419815,0.054827128208886085,0.13507542011498222,0.06982737249499409,0.11347038093157014,0.09370336796972818,0.09491416566644752,0.1081781093548755,0.08455175677293343,0.11160054865446291,0.08658166061165828,0.10267261672771748,0.09747712564616826,0.09040132449161524,0.10646350220707963,0.08293958530689309,
94492	0.5682911665997357,0.062143676286431956,0.046371142482653116,0.08814724654130017,0.18428275642285669,0.07912961134407327,0.11683922896246095,-0.03989334374901914,-6.365529695078983E-4,0.2593397216812658,-0.01944420937402938,0.06252997152731522,0.15049247407651056,0.033911911378399655,0.11733070708231548,0.08881469926217439,0.04663749465869362,0.15867779669398446,0.0018775711672148214,0.12885000852096512,0.08945175488044406,0.0584640095013827,0.12536912750110565,0.07066911769855347,0.08327534664280935,0.13435107281193695,0.03323947305876082,0.15604504756319781,0.04683589145891362,0.12159320167638303,0.0866093980340539,0.08882225043157327,0.10417797916147303,0.08232453127851266,0.10131064375625663,0.09005037487051033,0.08837142975633928,0.10513034204291014,0.0726428029261552,0.11519717605466469,0.06512235210982038,0.11760142089849543,0.06892727307756359,0.10942203023016456,0.08301310367043928,0.09736310622362537,0.09354491377732826,0.09174799157327185,0.09315471101743532,0.09719402752220621,
103685	0.593997014580439,-0.028526167047238666,-0.11842608336853339,0.23437382625765726,0.18453502920077972,-0.25819675776611656,0.1022007620797929,0.0926985789247669,-0.21721323359644315,0.06013380984974544,0.11559170446182122,0.01581213607932745,0.08675256722205792,0.1053800211056877,0.022348829999282095,0.21007519625309218,-0.024554713620335688,0.22188205631207616,0.01494230470855519,0.12218816430010293,0.11422279219983911,0.09585154068325005,0.07766548078799261,0.15215410597600013,0.01539524991141844,0.17247570378414043,0.060356102170548716,0.0967051124547219,0.11068926832883637,0.07415246809886876,0.1187136210656646,0.07146661204115132,0.12611590171849085,0.05803330045889592,0.1472956472103035,0.04201220782375801,0.15309211490484703,0.055360028811479084,0.1253727655704354,0.07899615450638398,0.11026799537276213,0.08024793795560808,0.11729346046068,0.06773655080425026,0.1262689049160252,0.06618337999784525,0.12259556905128592,0.07487022835027428,0.11462960638541422,0.0812237006484912,
104082	0.44809897940807975,0.07824360310635378,0.0717904367574335,0.05245327860846669,-0.001244176648010584,0.007304489992082815,0.0888431556534288,0.03899451696008706,0.07139856257735937,0.02607392517323483,0.059942173055398375,0.04806656084286455,0.06813497392711058,0.061381839243509644,0.06105924550040375,0.05863063925615853,0.07886263512405971,0.05412392086315447,0.06986563439065606,0.0764992526492398,0.06030869435531989,0.07023140959531787,0.0799004592863063,0.0627036576736362,0.08343696953564997,0.07035515243574177,0.07364502490232167,0.08496628731067693,0.06602794978875925,0.09352242173451601,0.06903141932014555,0.090027767548415,0.07880656726741887,0.08299956994413842,0.08717324954262791,0.07828421927235718,0.09212522153722069,0.08001760029809758,0.09034772279776916,0.08622812924049898,0.0870075173413062,0.09065460335342077,0.08599999862649564,0.09159849280714637,0.08924981672602417,0.08895697896036228,0.0940913003184209,0.08630806798648111,0.09721879948103543,0.08584691240716638,
105011	0.5176598586692983,0.09760671410872082,0.10412994123502246,0.06959377594444734,-0.01025826335196778,0.14000510059098617,0.08563801286767214,0.03937871317416177,0.11400509158415197,0.12201965237955478,0.023546118080999594,0.10810921687365045,0.07253201122482589,0.07607708677571406,0.09123113308252173,0.09057715463646565,0.07555105436525925,0.09506796844875855,0.0996221882507493,0.0775843627399346,0.10271276838139538,0.08975443410544157,0.09386688387536109,0.08449198390878203,0.10486642195876618,0.07717214552058581,0.1037145475877482,0.08669525144906857,0.10006032133553544,0.08951287330914728,0.09898716238505283,0.09152506593943906,0.09800341604211067,0.09257638242817826,0.09957871412421163,0.09037259529243315,0.1028553834102108,0.08822704129035072,0.10333969535664428,0.08926554208441537,0.10025054844296909,0.0935745290235767,0.09448085146456868,0.10033446556700287,0.0889373133129324,0.10307056519865863,0.09013377229295153,0.0991183431440218,0.09613011311659092,0.09332484660839448,
109036	0.5833623841729663,-0.23854911171884902,-0.0459798560735138,0.1566517323945337,0.1311885315805265,0.06957654031579041,0.006029767330105084,-0.1195100631088714,0.21433108940813275,0.35218749437562924,-0.15885202233369525,0.15456979642213578,0.11112488615669586,0.030860351890577207,0.14305905540986422,0.08917733203201628,0.0597163831674567,0.15749933169408412,0.035854116563711735,0.10879916600155738,0.10712673691835989,0.07699742298378101,0.10480837655401387,0.06649657627673966,0.1575011907735313,0.012117655731587308,0.15262515943542954,0.07702492667380963,0.05173651099828724,0.1733794147615906,0.007513504925126984,0.17972350789938354,0.033890768757151704,0.14608746490380312,0.060017623335228025,0.12126354711856355,0.08048932857231521,0.10466298137710268,0.08889057616391789,0.10739993197587895,0.07768744174759094,0.11940567248621345,0.06876831946747601,0.1152896425282472,0.08561347092373861,0.09077385157098186,0.11316453590124476,0.06582415462860261,0.1334137713224001,0.05118377554032286,
109871	0.5813329003017521,0.3797151118262249,0.11145831768589282,0.14814385539119604,0.12327364753868097,0.10309725028915437,0.12611464649062423,0.1723747809181642,0.1603215267342055,0.06399240860417398,0.1772158770841592,0.09890890550114478,0.15298679098885207,0.10921989115859179,0.11601886208965989,0.13699963786791858,0.10340019590964945,0.11505405706740708,0.1316226468158168,0.07571350604564187,0.13420772536021244,0.10633943771051006,0.07720408614033868,0.15256540985387873,0.039706268897172,0.15993900264169145,0.07722588569647207,0.11083431189484279,0.11077730302660292,0.09084750017624646,0.11690763673083829,0.08933360528915002,0.11427503341608274,0.08841916566566244,0.11371215235374844,0.08778022204604552,0.10928166028179076,0.09428745263088895,0.10101683089475315,0.09800707862581831,0.09993779936212853,0.0931645610546086,0.10607343444572392,0.08591365748100288,0.11041728737808351,0.08522276461400995,0.10632777222927689,0.09087703838539185,0.09828994103076256,0.09821432870029892,
111541	0.5409907467593134,-0.27990096014040183,-0.21755388880767682,0.08982118263005771,-0.2017802172133097,0.2996530194130213,0.046358841103382765,0.2300638455658671,-0.1917576217709984,0.12220922405264721,0.27840222167195966,0.002221293913598145,0.1988212358092148,0.10603076906725804,0.08721987420918394,0.11064133001398022,0.19850258121327788,-0.05594462804117905,0.21347347238148776,0.1326414327224673,-0.06900427728910036,0.19895726492234678,0.07208938917443233,0.0379148385477531,0.1712071695797774,0.05254787010996072,0.0707826188772432,0.15523628961195837,0.04115529826339655,0.10093405182463296,0.1219083460456407,0.03375040580627091,0.13096847141150378,0.04939055678618651,0.11316816280659538,0.05935908210441372,0.1286202192468384,0.03213791708185075,0.15715005977251292,0.008236354576009259,0.16387268107402891,0.021877838507502904,0.12868910564050204,0.0793594312254954,0.06783429756083181,0.12131883671044986,0.05792728117908674,0.1079305982742583,0.09478193777202162,0.066150117306824,
113499	0.6652694572168906,1.0001850424547054,0.13876118869681894,0.11497942898036694,0.19836556611089143,0.047572155432203576,-0.00405710821436829,0.2939234716053955,0.12044600159217553,0.14578175198218238,0.04780592853496047,0.20741682940892778,0.11849035861297443,0.12416908376414748,0.13240024782536758,0.15206992164986832,0.11031001490278265,0.09953443210667794,0.17776272159219886,0.07447879249341537,0.13420263787220835,0.11913861780218953,0.1222684689881194,0.07200958557370236,0.18214887290488643,0.05727754378954683,0.10323249978905992,0.1915651683575946,-0.019074267034339596,0.2599385320192519,0.007604328268724019,0.19048636655088355,0.08792228985586314,0.11855989420820152,0.13235385329293284,0.08217184713528318,0.14124285369841424,0.0885442902360277,0.11658676673833632,0.10905867501952606,0.09885120321439786,0.11228463598336803,0.10047836825507553,0.10126785867991128,0.11066604062292322,0.09356233815049404,0.11119324966964636,0.0948110769050939,0.10660426584815146,0.09572325748635055,
117856	0.6039729151969687,0.46198950810526956,-0.1060410365075153,0.21289188696566025,0.1737845724377315,0.06624178485170448,0.19858293165943386,0.020446982151787856,0.15528556984681935,0.1481103050040351,0.08552393384399928,0.09749261371907138,0.15434638782711296,0.08564859923343819,0.10215124829025808,0.15461495422564717,0.06058284455494332,0.18092851071860933,0.06717046657276374,0.1285560508124857,0.15701956351839932,0.08287540419166231,0.1497798993437435,0.12470857703209606,0.09756279758438687,0.16215429007883123,0.09802104601380066,0.1342835101464035,0.12238698908714953,0.1199269321109616,0.12139753651529796,0.13021656797500672,0.10639504782892654,0.14417896264247865,0.09251243175239487,0.1524170487161253,0.09300396692225785,0.13994616642091268,0.11061431184874033,0.1221979319846452,0.12263834969151036,0.11314102363215511,0.12655966273441582,0.11089927580407613,0.12471751657752551,0.11303682424224054,0.12149632144411678,0.11433716270026491,0.12004281951751619,0.11290951959942502,
119399	0.6317897377801713,0.27242102272351254,0.08086837138150094,-0.1382936203301936,0.18472501913912648,-0.03258719119412661,0.1020549767973534,-0.04089167280023394,0.1427400838042598,0.21966475255124163,-0.04976371270273518,0.18524527908112629,0.09920795917208504,0.038573691845377095,0.14231503615191968,0.06706313335183446,0.06859084916483639,0.13421061023860933,0.04526509294198789,0.12669910561128653,0.06827122870795475,0.10422005552988695,0.10355277498093503,0.0644914327829543,0.15259696759096453,0.05034075741430303,0.12913192124446213,0.10787644386557782,0.07921776595812642,0.12469924110162349,0.08315579624236949,0.10668197352125584,0.10437282595396843,0.08859008477304317,0.11680171883392929,0.08249739743932744,0.1161953907565389,0.0937460357314007,0.09948434764611438,0.11004241045512438,0.08356654840734967,0.12104969276064936,0.07775375154131958,0.12015798120508218,0.08518081314910761,0.11082399799862368,0.09356317784580959,0.1074636263985198,0.09218281344692096,0.11255251669410442,
