UserId,Overlap
151608,20
151692,18
152021,19
152118,16
152271,15
152366,19
152419,17
152954,15
153031,19
153065,17
153303,10
153869,14
154252,19
154361,17
154612,12
155120,13
155316,16
155468,19
155754,20
156111,17
156179,16
156356,15
156798,4
156888,17
157318,20
157432,17
157434,19
157519,17
157531,11
157748,12
157758,8
157815,11
158129,17
158266,17
158324,17
158404,7
158688,18
158734,18
158788,19
160121,18
160417,18
160922,10
161117,18
161502,15
161730,15
161795,20
161852,15
161979,16
162473,16
162712,16
162722,17
162856,17
163018,19
164211,20
164357,17
164451,20
164722,10
165216,17
165238,20
165669,18
165786,15
165793,17
166013,18
166089,14
166359,18
166458,20
166547,18
166638,15
166722,19
166751,15
167062,19
167463,19
167723,11
167855,15
167938,20
167994,17
168060,16
168597,7
168692,15
170082,17
170124,14
171119,13
171219,15
171352,12
171444,10
171458,9
171815,20
172020,15
172742,15
172762,19
173281,18
173847,19
173910,17
173938,17
174077,18
174171,18
174863,10
175036,18
175221,17
175641,19
175986,18
176165,16
176768,18
176846,15
176910,14
176957,18
177106,14
177206,17
177748,15
178052,18
178195,9
178217,13
178317,15
178419,17
178674,18
178822,11
178974,17
179273,17
179759,20
180010,16
180082,16
180389,11
180583,17
180723,13
180841,15
181403,9
181669,19
181784,17
182233,20
182304,12
182350,15
182355,17
182438,15
182693,18
183194,15
183201,11
183892,18
184239,16
184531,13
184537,17
185143,18
185404,16
185672,15
185887,16
186146,18
186409,16
186594,15
186748,16
186973,18
187066,19
187121,20
187210,18
187220,18
187351,15
187406,16
187558,17
188078,16
188227,17
188229,19
188281,12
188312,16
188315,20
188387,15
188914,14
189106,16
189190,16
189319,16
189395,17
189529,14
189586,16
189608,20
189784,17
189890,10
190378,20
190592,16
191075,16
191175,16
191196,18
191746,10
191779,19
191952,17
192637,17
192883,14
192893,15
192997,16
193006,11
193168,12
193520,17
193720,11
194449,20
194468,18
194505,11
194640,19
194897,19
195158,12
195272,14
195451,19
195504,18
195625,19
195940,17
196603,16
196652,17
196997,19
197442,17
197497,18
197538,18
197666,20
197847,11
198047,15
198437,19
198441,11
199510,15
199578,16
199872,9
199976,19
200085,17
200352,16
200481,20
200810,15
200827,9
201106,16
201274,15
201489,16
201847,12
201926,15
202087,20
202284,18
202490,18
202526,16
202554,16
202849,14
203193,14
203996,18
204257,19
204461,17
204464,9
204618,15
204624,16
205623,17
205725,15
205734,13
205933,19
206430,18
206695,16
206770,16
206908,12
206981,19
207053,15
207265,15
207354,15
207708,17
207942,17
208695,15
208791,19
209336,12
209452,16
209715,14
209817,15
209895,16
210348,15
210423,11
210564,19
211021,16
211288,17
211365,17
211428,18
211462,19
211778,17
212036,20
212055,10
212229,18
212403,17
212740,16
213065,15
213084,18
213317,9
213597,15
213667,20
213981,16
214029,20
214347,15
214649,16
214664,15
214739,17
214796,19
214845,16
215086,18
215141,19
215419,17
215644,10
215894,15
216269,16
216544,17
216624,16
216985,19
217159,17
217741,16
217963,16
218345,20
218437,17
218743,20
218893,15
219085,18
219118,16
219192,16
219310,17
219411,17
219550,17
220080,12
220126,13
220556,17
220578,20
220710,20
220833,7
220930,15
221700,15
221771,19
222186,17
222290,12
222367,17
222556,20
222650,18
222966,14
222998,19
223049,16
223188,12
223482,16
223522,20
224549,19
224809,10
225052,10
225484,4
226084,16
226816,15
226960,17
227146,17
227498,17
227607,18
227784,20
228105,18
228747,19
229119,18
229142,20
229244,14
229339,16
229844,19
230331,17
230523,20
230765,16
231151,7
231270,16
231278,19
231739,14
232107,15
232169,20
232185,14
232250,20
232441,13
233516,16
233551,19
233684,11
234105,18
234169,16
234497,20
235033,20
235708,17
236107,19
236171,20
236304,16
236377,18
236582,20
236694,15
237579,19
237580,18
237806,17
237859,8
238281,17
238589,13
238914,19
239029,20
239547,11
239596,17
239632,17
239770,11
239898,17
240287,19
240484,19
240657,13
240675,14
241312,17
241335,20
241384,16
241544,19
241753,20
241760,10
241955,16
242830,16
243063,10
243165,8
243932,15
244153,17
244328,17
244948,20
245234,7
245305,17
245657,18
245808,18
246043,17
246112,20
246439,15
246457,17
246594,11
247300,17
247463,16
248221,20
248603,18
248860,20
248919,14
249024,11
249054,15
249326,19
249542,18
249705,15
249922,17
249961,19
250468,19
250740,11
250832,19
250932,16
251120,17
251152,16
251721,20
251726,18
251739,11
252183,18
252253,20
252701,16
252812,20
253088,17
253147,16
253237,18
253241,20
253672,4
255599,11
255644,18
255766,19
256249,20
256773,16
256927,12
257050,18
257283,15
257454,17
258390,15
258810,16
259237,19
259267,17
259273,16
259563,17
259649,18
259724,16
259792,18
259962,15
260158,20
260205,18
260297,20
261340,15
261747,20
262410,14
262655,11
262718,15
262938,15
263035,19
263052,18
263118,19
263277,17
263284,15
263465,18
263484,15
263540,8
263546,17
263661,13
263750,19
263933,14
264142,11
264468,20
264734,12
264931,16
265063,20
265081,16
265179,18
265497,15
266244,16
266321,11
266594,14
266672,17
266703,16
267311,16
267595,18
268211,8
268212,20
268457,15
268642,20
269099,18
269118,16
269473,12
269479,16
269483,14
269591,18
271307,9
271330,18
271419,15
271536,16
271838,16
272704,17
272814,18
273035,18
273181,18
273336,17
273428,16
273479,8
273533,12
274299,16
274421,15
274598,9
274738,20
275072,17
275411,20
275502,16
275848,17
276161,17
276708,17
277129,16
277160,17
277265,16
277412,15
277689,15
277718,18
277791,16
277991,15
278359,16
278591,20
278919,6
278929,16
279572,11
279761,16
279874,17
280088,16
280368,14
280620,15
281208,13
281602,16
282208,17
283068,19
283470,19
283844,14
284097,17
284742,16
285052,17
285509,18
285589,16
285716,19
285792,14
286900,16
287147,15
287151,15
287244,18
287259,17
288198,18
289453,17
289862,18
290873,16
292165,14
292533,19
292831,16
293148,20
293192,15
293228,16
293288,19
293676,17
294027,17
294500,17
294727,20
294923,19
295007,15
295539,17
295556,15
295819,18
295925,14
295936,15
296128,19
296462,18
296547,16
296690,20
297868,17
297899,15
298128,19
298385,12
298464,10
298553,14
298674,14
299045,18
300326,10
301379,16
301872,19
302051,20
302253,15
302914,16
303073,15
303106,17
303904,20
303915,14
304440,15
304603,16
304616,18
304984,17
305001,12
305239,19
305567,13
306117,16
306996,17
308028,17
308787,17
308872,15
308988,18
309013,16
309297,16
309950,17
310175,19
310895,0
311411,15
311596,15
312027,16
312625,15
312668,13
313051,18
314022,19
314357,16
314992,20
315101,19
315999,17
316223,19
316549,20
316658,20
316866,16
316939,17
317049,16
317176,16
317225,17
317241,16
317289,11
317599,16




